"Id","Name","Id bioguide","Id govtrack","Id icpsr","Id wikipedia","Id wikidata","Id google entity id","Name first","Name last","Bio birthday","Bio gender","Id house history","Name middle","Name nickname","Id ballotpedia","Name suffix","Id bioguide previous","Id house history alternate","Other names","Id thomas","Id cspan","Id votesmart","Id lis","Name official full","Id opensecrets","Id fec","Id maplight","Leadership roles","Family"
"A000280","James Armstrong","A000280","400920","231","James Armstrong (Pennsylvania politician)","Q6128836","kg:/m/094g01","James","Armstrong","1748-08-29","M","8653","","","","","","","","","","","","","","","","",""
"B000282","John Beatty","B000282","401276","554","John Beatty (Continental Congress)","Q1413402","kg:/m/033lbp","John","Beatty","1749-12-10","M","9141","","","","","","","","","","","","","","","","",""
"B000661","Elias Boudinot","B000661","401623","878","Elias Boudinot","Q51753","kg:/m/02rjz","Elias","Boudinot","1740-05-02","M","9640","","","","","","","","","","","","","","","","",""
"B000671","Shearjashub Bourne","B000671","401633","886","Shearjashub Bourne","Q1535213","kg:/m/08vt2f","Shearjashub","Bourne","1746-06-14","M","9651","","","","","","","","","","","","","","","","",""
"B000739","William Bradford","B000739","401699","951","William Bradford (Rhode Island politician)","Q932530","kg:/m/01htjz","William","Bradford","1729-11-04","M","","","","","","","","","","","","","","","","","",""
"C000012","Lambert Cadwalader","C000012","402174","1387","Lambert Cadwalader (representative)","Q1119528","kg:/m/031gtk","Lambert","Cadwalader","","M","10457","","","","","","","","","","","","","","","","",""
"C000163","Thomas Carnes","C000163","402311","1518","Thomas P. Carnes","Q1526302","kg:/m/08t6dm","Thomas","Carnes","","M","10658","Petters","","","","","","","","","","","","","","","",""
"C000418","Abraham Clark","C000418","402557","1750","Abraham Clark","Q329870","kg:/m/01mpsy","Abraham","Clark","1726-02-15","M","10975","","","","","","","","","","","","","","","","",""
"C000545","David Cobb","C000545","402678","1865","David Cobb (Massachusetts politician)","Q1174031","kg:/m/080bgg","David","Cobb","1748-09-14","M","11129","","","","","","","","","","","","","","","","",""
"C000591","Peleg Coffin","C000591","402720","1906","Peleg Coffin Jr.","Q2067932","kg:/m/08vvd0","Peleg","Coffin","1756-11-03","M","11191","","","","Jr.","","","","","","","","","","","","",""
"D000157","William Dawson","D000157","412032","2432","William Johnston Dawson","Q2579535","kg:/m/04f920","William","Dawson","","M","12026","Johnson","","","","","","","","","","","","","","","",""
"E000060","Benjamin Edwards","E000060","403755","2859","Benjamin Edwards (Maryland politician)","Q868544","kg:/m/08v3d9","Benjamin","Edwards","1753-08-12","M","12673","","","","","","","","","","","","","","","","",""
"F000178","Thomas Fitzsimons","F000178","404133","3196","Thomas Fitzsimons","Q671958","kg:/m/021h9p","Thomas","Fitzsimons","","M","13194","","","","","","","","","","","","","","","","",""
"F000282","Uriah Forrest","F000282","404232","3285","Uriah Forrest","Q868551","kg:/m/04cjt9","Uriah","Forrest","","M","13328","","","","","","","","","","","","","","","","",""
"F000368","Frederick Frelinghuysen","F000368","404314","3361","Frederick Frelinghuysen (general)","Q5497813","kg:/m/02_31t","Frederick","Frelinghuysen","1753-04-13","M","13434","","","","","","","","","","","","","","","","",""
"G000211","Alexander Gillon","G000211","404574","3607","Alexander Gillon","Q2642191","kg:/m/096sf7","Alexander","Gillon","","M","13832","","","","","","","","","","","","","","","","",""
"G000311","James Gordon","G000311","404669","3695","James Gordon (New York politician)","Q868475","kg:/m/09143y","James","Gordon","1739-10-31","M","13956","","","","","","","","","","","","","","","","",""
"G000466","Samuel Griffin","G000466","404811","3825","Samuel Griffin","Q1571504","kg:/m/089cbk","Samuel","Griffin","","M","14153","","","","","","","","","","","","","","","","",""
"H000750","Samuel Holten","H000750","405601","4546","Samuel Holten","Q1716923","kg:/m/04htnn","Samuel","Holten","1738-06-09","M","15210","","","","","","","","","","","","","","","","",""
"I000035","William Irvine","I000035","405892","4820","William Irvine (general)","Q3568725","kg:/m/04vncx","William","Irvine","1741-11-03","M","15660","","","","","","","","","","","","","","","","",""
"L000178","Amasa Learned","L000178","406680","5543","Amasa Learned","Q455350","kg:/m/08sr8s","Amasa","Learned","1750-11-15","M","16819","","","","","","","","","","","","","","","","",""
"L000200","Richard Lee","L000200","406703","5564","Richard Bland Lee","Q2149095","kg:/m/08tvdf","Richard","Lee","1761-01-20","M","16844","Bland","","","","","","","","","","","","","","","",""
"M000166","Alexander Martin","M000166","407188","6012","Alexander Martin","Q642264","kg:/m/02j2c6","Alexander","Martin","","M","","","","","","","","","","","","","","","","","",""
"M000424","Joseph McDowell","M000424","407423","6230","Joseph ""Pleasant Gardens"" McDowell","Q1707603","kg:/m/033sft","Joseph","McDowell","1758-02-25","M","17857","","","","","","","","","","","","","","","","",""
"M000622","Alexander Mebane","M000622","407611","6401","Alexander Mebane","Q2545396","kg:/m/04f8w6","Alexander","Mebane","1744-11-26","M","18102","","","","","","","","","","","","","","","","",""
"M000645","John Mercer","M000645","407631","6418","John Francis Mercer","Q880672","kg:/m/08sw4r","John","Mercer","1759-05-17","M","18132","Francis","","","","","","","","","","","","","","","",""
"M000828","Stephen Mitchell","M000828","407803","6574","Stephen Mix Mitchell","Q369829","kg:/m/057py6","Stephen","Mitchell","1743-12-09","M","18370","Mix","","","","","","","","","","","","","","","",""
"M000873","William Montgomery","M000873","407845","6608","William Montgomery (Pennsylvania soldier)","Q8015749","kg:/m/094hf8","William","Montgomery","1736-08-03","M","18428","","","","","","","","","","","","","","","","",""
"N000055","Joseph Neville","N000055","408143","6883","Joseph Neville","Q1707698","kg:/m/09w6bd","Joseph","Neville","","M","18904","","","","","","","","","","","","","","","","",""
"N000109","Nathaniel Niles","N000109","408193","6932","Nathaniel Niles (politician)","Q1966777","kg:/m/09q65p","Nathaniel","Niles","1741-04-03","M","18966","","","","","","","","","","","","","","","","",""
"P000320","Andrew Pickens","P000320","408719","7425","Andrew Pickens (congressman)","Q506733","kg:/m/01k1kl","Andrew","Pickens","1739-09-13","M","19670","","","","","","","","","","","","","","","","",""
"S000186","Thomas Scott","S000186","409691","8312","Thomas Scott (American politician)","Q6171054","kg:/m/05k3d8","Thomas","Scott","","M","21369","","","","","","","","","","","","","","","","",""
"S001009","Caleb Strong","S001009","410466","9028","Caleb Strong","Q546613","kg:/m/03d7pr","Caleb","Strong","1745-01-09","M","","","","","","","","","","","","","","","","","",""
"T000019","Silas Talbot","T000019","410609","9161","Silas Talbot","Q12410052","kg:/m/02mr25","Silas","Talbot","1751-01-11","M","22655","","","","","","","","","","","","","","","","",""
"T000361","Thomas Tredwell","T000361","410931","9463","Thomas Tredwell","Q2427741","kg:/m/08z7z9","Thomas","Tredwell","1743-02-06","M","23076","","","","","","","","","","","","","","","","",""
"V000039","Peter Van Gaasbeck","V000039","411084","9615","Peter Van Gaasbeck","Q499513","kg:/m/08zsxb","Peter","Van Gaasbeck","1754-09-27","M","20924","","","","","","","","","","","","","","","","",""
"V000104","John Vining","V000104","411159","9676","John Vining","Q1700934","kg:/m/04mpqv","John","Vining","1758-12-23","M","20999","","","","","","","","","","","","","","","","",""
"W000013","Jeremiah Wadsworth","W000013","411192","9706","Jeremiah Wadsworth","Q1687546","kg:/m/04fv3k","Jeremiah","Wadsworth","1743-07-12","M","23236","","","","","","","","","","","","","","","","",""
"W000051","Francis Walker","W000051","411230","9739","Francis Walker (Virginia politician)","Q82431","kg:/m/07vs28","Francis","Walker","1764-06-22","M","23277","","","","","","","","","","","","","","","","",""
"W000127","Artemas Ward","W000127","411302","9808","Artemas Ward","Q321887","kg:/m/01l7tx","Artemas","Ward","1727-11-26","M","23364","","","","","","","","","","","","","","","","",""
"W000211","John Watts","W000211","411380","9881","John Watts (New York politician)","Q1702113","kg:/m/02mrwr","John","Watts","1749-08-27","M","23469","","","","","","","","","","","","","","","","",""
"W000491","Benjamin Williams","W000491","411648","10136","Benjamin Williams","Q817741","kg:/m/02j23l","Benjamin","Williams","1751-01-01","M","23799","","","","","","","","","","","","","","","","",""
"W000633","Paine Wingate","W000633","411787","10272","Paine Wingate","Q1638165","kg:/m/03zy2r","Paine","Wingate","1739-05-14","M","23968","","","","","","","","","","","","","","","","",""
"T000107","Henry Tazewell","T000107","410689","9238","Henry Tazewell","Q765041","kg:/m/03psr6","Henry","Tazewell","1753-11-27","M","","","","","","","","","","","","","","","","","",""
"W000114","George Walton","W000114","412123","9796","George Walton","Q878512","kg:/m/01mrl8","George","Walton","","M","23348","","","","","","","","","","","","","","","","",""
"A000174","Fisher Ames","A000174","400829","154","Fisher Ames","Q1194576","kg:/m/01gycn","Fisher","Ames","1758-04-09","M","8498","","","","","","","","","","","","","","","","",""
"B000474","William Bingham","B000474","401455","719","William Bingham","Q2113530","kg:/m/033l_z","William","Bingham","1752-03-08","M","9392","","","","","","","","","","","","","","","","",""
"B000563","Timothy Bloodworth","B000563","401537","800","Timothy Bloodworth","Q433132","kg:/m/02kl3p","Timothy","Bloodworth","","M","9503","","","","","","","","","","","","","","","","",""
"B000669","Benjamin Bourne","B000669","401631","884","Benjamin Bourne","Q817423","kg:/m/03q11d","Benjamin","Bourne","1755-09-09","M","9649","","","","","","","","","","","","","","","","",""
"B001014","Daniel Buck","B001014","401964","1195","Daniel Buck","Q179529","kg:/m/02663gk","Daniel","Buck","1753-11-09","M","10087","","","","","","","","","","","","","","","","",""
"C000624","Isaac Coles","C000624","402753","1936","Isaac Coles","Q1673374","kg:/m/03zcsx","Isaac","Coles","1747-03-02","M","11231","","","","","","","","","","","","","","","","",""
"C000848","Jeremiah Crabb","C000848","402964","2125","Jeremiah Crabb","Q868341","kg:/m/0ddhgf","Jeremiah","Crabb","","M","11517","","","","","","","","","","","","","","","","",""
"D000178","Henry Dearborn","D000178","403340","2451","Henry Dearborn","Q963349","kg:/m/01jv0s","Henry","Dearborn","1751-02-23","M","12053","","","","","","","","","","","","","","","","",""
"D000578","Gabriel Duvall","D000578","403681","2796","Gabriel Duvall","Q1489164","kg:/m/037q61","Gabriel","Duvall","1752-12-06","M","12544","","","","","","","","","","","","","","","","",""
"E000010","Samuel Earssle","E000010","403706","2816","Samuel Earle","Q2218177","kg:/m/0264j61","Samuel","Earle","1760-11-28","M","12614","","","","","","","","","","","","","","","","",""
"G000173","Ezekiel Gilbert","G000173","404539","3573","Ezekiel Gilbert","Q868795","kg:/m/08zt16","Ezekiel","Gilbert","1756-03-25","M","13783","","","","","","","","","","","","","","","","",""
"G000434","Christopher Greenup","G000434","404782","3798","Christopher Greenup","Q359433","kg:/m/03nnxw","Christopher","Greenup","","M","14114","","","","","","","","","","","","","","","","",""
"G000526","James Gussnn","G000526","404870","3877","James Gunn (senator)","Q956982","kg:/m/01vr5z","James","Gunn","1753-03-13","M","14224","","","","","","","","","","","","","","","","",""
"H000148","George Hancock","H000148","405030","4026","George Hancock (Virginia politician)","Q1507501","kg:/m/07vjz4","George","Hancock","1754-06-13","M","14465","","","","","","","","","","","","","","","","",""
"H000348","John Hathorn","H000348","405217","4193","John Hathorn","Q499736","kg:/m/02qky7","John","Hathorn","1749-01-09","M","14711","","","","","","","","","","","","","","","","",""
"H000431","John Heath","H000431","405297","4269","John Heath (politician)","Q195030","kg:/m/09xbp3","John","Heath","1758-05-08","M","14811","","","","","","","","","","","","","","","","",""
"H000488","Thomas ssHenderson","H000488","405351","4315","Thomas Henderson (New Jersey politician)","Q435140","kg:/m/0265_d0","Thomas","Henderson","1743-08-15","M","14885","","","","","","","","","","","","","","","","",""
"H000508","John Henry","H000508","405370","4333","John Henry (Maryland politician)","Q202950","kg:/m/01k42p","John","Henry","","M","14915","","","","","","","","","","","","","","","","",""
"L000067","John Langdon","L000067","406576","5449","John Langdon (politician)","Q554454","kg:/m/02ctc_","John","Langdon","1741-06-26","M","16671","","","","","","","","","","","","","","","","",""
"L000246","George Leonard","L000246","406749","5611","George Leonard (Congressman)","Q1507754","kg:/m/06g6vm","George","Leonard","1729-07-04","M","16899","","","","","","","","","","","","","","","","",""
"L000530","William Lyman","L000530","407014","5852","William Lyman (congressman)","Q1510629","kg:/m/08xvth","William","Lyman","1755-12-07","M","17254","","","","","","","","","","","","","","","","",""
"M000155","Humphrey Marshall","M000155","407176","6000","Humphrey Marshall (politician)","Q1386353","kg:/m/08g5df","Humphrey","Marshall","","M","","","","","","","","","","","","","","","","","",""
"M001063","Frederick Muhlenberg","M001063","408029","6781","Frederick Muhlenberg","Q724629","kg:/m/01d0wm","Frederick","Muhlenberg","1750-01-01","M","18657","Augustus Conrad","","","","","","","","","","","","","","","",""
"M001119","William Murray","M001119","408082","6830","William Vans Murray","Q1721684","kg:/m/08vs3_","William","Murray","1760-02-09","M","18724","Vans","","","","","","","","","","","","","","","",""
"O000101","Alexander Orr","O000101","408358","7084","Alexander D. Orr","Q2641948","kg:/m/08t74n","Alexander","Orr","1761-11-06","M","19190","Dalrymple","","","","","","","","","","","","","","","",""
"P000018","John Page","P000018","408429","7156","John Page (Virginia politician)","Q732158","kg:/m/03rvds","John","Page","1743-04-17","M","19304","","","","","","","","","","","","","","","","",""
"P000026","Elijah Paine","P000026","408437","7164","Elijah Paine","Q382730","kg:/m/0b0xrk","Elijah","Paine","1757-01-21","M","","","","","","","","","","","","","","","","","",""
"P000108","John Patten","P000108","408516","7235","John Patten (American politician)","Q1435759","kg:/m/073kkn","John","Patten","1746-04-26","M","19407","","","","","","","","","","","","","","","","",""
"P000514","Francis Preston","P000514","408899","7603","Francis Preston","Q1441699","kg:/m/09x877","Francis","Preston","1765-08-02","M","19915","","","","","","","","","","","","","","","","",""
"R000092","Jacob Read","R000092","409072","7763","Jacob Read","Q176134","kg:/m/066k0l","Jacob","Read","","M","20197","","","","","","","","","","","","","","","","",""
"R000215","John Richards","R000215","409191","7870","John Richards (Pennsylvania politician)","Q6254769","kg:/m/02663bs","John","Richards","1753-04-18","M","20349","","","","","","","","","","","","","","","","",""
"R000548","Robert Rutherford","R000548","409504","8148","Robert Rutherford (congressman)","Q2158678","kg:/m/09w5n7","Robert","Rutherford","1728-10-20","M","20756","","","","","","","","","","","","","","","","",""
"S000339","John Sherburne","S000339","409836","8448","John Samuel Sherburne","Q1684009","kg:/m/08xx82","John","Sherburne","","M","21558","Samuel","","","","","","","","","","","","","","","",""
"S000555","Isaac Smith","S000555","410037","8637","Isaac Smith (New Jersey politician)","Q1673446","kg:/m/0261985","Isaac","Smith","","M","21822","","","","","","","","","","","","","","","","",""
"S000753","Thomas Sprigg","S000753","410220","8811","Thomas Sprigg","Q1203664","kg:/m/08v3w_","Thomas","Sprigg","","M","22068","","","","","","","","","","","","","","","","",""
"S001029","William Strudwick","S001029","412181","9048","William Francis Strudwick","Q2578868","kg:/m/04f9hn","William","Strudwick","","M","22410","Francis","","","","","","","","","","","","","","","",""
"S001119","Zephaniah Swift","S001119","410571","9127","Zephaniah Swift","Q181432","kg:/m/08t5zc","Zephaniah","Swift","1759-02-27","M","22520","","","","","","","","","","","","","","","","",""
"T000050","Absalom Tatom","T000050","410638","9187","Absalom Tatom","Q331709","kg:/m/04f9c4","Absalom","Tatom","","M","22695","","","","","","","","","","","","","","","","",""
"T000389","Jonathan Trumbull","T000389","410958","9489","Jonathan Trumbull Jr.","Q881004","kg:/m/01rbqk","Jonathan","Trumbull","1740-03-26","M","23110","","","","Jr.","","","","","","","","","","","","",""
"W000377","James White","W000377","411538","","James White (North Carolina politician)","Q532708","kg:/m/06t1db","James","White","1749-06-16","M","23662","","","","","","","","","","","","","","","","",""
"B000570","William Blount","B000570","401543","806","William Blount","Q767446","kg:/m/01rfbf","William","Blount","1749-03-26","M","9512","","","","","","","","","","","","","","","","",""
"G000286","Benjamin Goodhue","G000286","404647","3674","Benjamin Goodhue","Q817516","kg:/m/089c8h","Benjamin","Goodhue","1748-09-20","M","13925","","","","","","","","","","","","","","","","",""
"H000841","John Howard","H000841","405688","4628","John Eager Howard","Q653713","kg:/m/0dhm7","John","Howard","1752-06-04","M","15326","Eager","","","","","","","","","","","","","","","",""
"H000982","John Hunter","H000982","412128","4753","John Hunter (South Carolina politician)","Q431881","kg:/m/096rcx","John","Hunter","","M","15493","","","","","","","","","","","","","","","","",""
"L000120","John Laurance","L000120","406626","5498","John Laurance","Q457691","kg:/m/0294pf","John","Laurance","","M","16748","","","","","","","","","","","","","","","","",""
"T000052","Josiah Tattnall","T000052","410640","9189","Josiah Tattnall (politician)","Q357713","kg:/m/0b2f92","Josiah","Tattnall","","M","","","","","","","","","","","","","","","","","",""
"A000129","John Allen","A000129","400785","112","John Allen (Connecticut politician)","Q1564861","kg:/m/026640s","John","Allen","1763-06-12","M","8440","","","","","","","","","","","","","","","","",""
"B000396","Lemuel Benton","B000396","401387","656","Lemuel Benton","Q1817142","kg:/m/096ssd","Lemuel","Benton","","M","9288","","","","","","","","","","","","","","","","",""
"B000735","Theophilus Bradbury","B000735","401695","947","Theophilus Bradbury","Q2419098","kg:/m/0csf02","Theophilus","Bradbury","1739-11-13","M","9733","","","","","","","","","","","","","","","","",""
"B000875","David Brooks","B000875","401832","1072","David Brooks (politician)","Q1173839","kg:/m/0ks048","David","Brooks","","M","9909","","","","","","","","","","","","","","","","",""
"B000991","Nathan Bryan","B000991","401943","1176","Nathan Bryan (North Carolina politician)","Q1563170","kg:/m/04f9l2","Nathan","Bryan","","M","10055","","","","","","","","","","","","","","","","",""
"B001053","Stephen Bullock","B001053","402001","1232","Stephen Bullock","Q2344581","kg:/m/0261t2h","Stephen","Bullock","1735-10-10","M","10132","","","","","","","","","","","","","","","","",""
